setor,gas,GÁS NATURAL,CARVÃO VAPOR,CARVÃO METALÚRGICO,LENHA,PRODUTOS DA CANA,OUTRAS FONTES PRIMÁRIAS,ÓLEO DIESEL,ÓLEO COMBUSTÍVEL,GASOLINA,GLP,QUEROSENE,GÁS DE CIDADE E DE COQUERIA,COQUE DE CARVÃO MINERAL,CARVÃO VEGETAL,ÁLCOOL ETÍLICO ANIDRO E HIDRATADO,OUTRAS SECUNDÁRIAS DE PETRÓLEO,ALCATRÃO
SETOR ENERGÉTICO,CO2 Gg/1000 tep,2.34,3.94,3.94,4.52,4.52,3.31,3.07,3.21,2.87,2.61,2.98,3.07,3.94,3.86,3.00,3.07,3.94
RESIDENCIAL,CO2 Gg/1000 tep,2.34,3.78,3.78,4.23,4.23,3.31,3.07,3.21,2.87,2.61,2.98,3.07,3.78,3.46,2.71,3.07,3.78
COMERCIAL,CO2 Gg/1000 tep,2.34,3.81,3.81,4.23,4.23,3.31,3.07,3.21,2.87,2.61,2.98,3.07,3.81,3.48,2.71,3.07,3.81
PÚBLICO,CO2 Gg/1000 tep,2.34,-,,4.23,-,3.31,3.07,3.21,-,2.61,2.98,3.07,-,3.79,-,-,-
AGROPECUÁRIO,CO2 Gg/1000 tep,2.34,3.78,3.78,3.91,3.91,3.31,3.07,3.21,2.87,2.61,2.98,3.07,3.78,3.46,2.39,3.07,3.78
RODOVIÁRIO,CO2 Gg/1000 tep,-,-,-,-,-,3.31,3.00,-,2.35,-,-,-,-,3.95,2.76,3.07,3.95
FERROVIÁRIO,CO2 Gg/1000 tep,-,-,-,-,-,3.31,3.00,-,-,-,-,-,-,-,-,-,-
AÉREO,CO2 Gg/1000 tep,2.34,3.95,3.95,4.59,4.59,3.31,3.07,3.21,2.87,2.62,2.97,3.07,3.95,3.95,3.07,3.07,3.95
HIDROVIÁRIO,CO2 Gg/1000 tep,-,-,-,-,-,3.31,3.07,3.14,-,-,-,-,-,-,-,-,-
CIMENTO,CO2 Gg/1000 tep,2.34,3.93,3.93,4.46,4.32,3.31,3.07,3.21,2.87,2.62,2.98,3.07,3.93,3.66,2.80,3.07,3.93
FERRO-GUSA E AÇO,CO2 Gg/1000 tep,2.34,3.93,3.93,4.46,4.32,3.31,3.07,3.21,2.87,2.62,2.98,3.07,3.93,3.66,2.80,3.07,3.93
FERRO-LIGAS,CO2 Gg/1000 tep,2.34,3.93,3.93,4.46,4.32,3.31,3.07,3.21,2.87,2.62,2.98,3.07,3.93,3.66,2.80,3.07,3.93
